stage,mode,optimize,smooth,angle_step,smoothing,sensitivity,fps,scenario,seed,first_arrival_ms,settle_ms,rms_error_deg,overshoot_yaw_deg,overshoot_pitch_deg,max_yaw_speed_deg_s,max_pitch_speed_deg_s,max_yaw_acceleration_deg_s2,max_pitch_acceleration_deg_s2,max_yaw_jerk_deg_s3,max_pitch_jerk_deg_s3,p95_yaw_acceleration_deg_s2,p95_pitch_acceleration_deg_s2
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260915,200.000,200.000,6.451875,9.900002,0.000000,960.000000,0.000000,13500.000000,0.000000,352799.987793,0.000000,3960.000610,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260916,200.000,200.000,6.440706,9.300003,0.000000,960.000000,0.000000,13500.000000,0.000000,357599.975586,0.000000,3720.001221,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260917,200.000,200.000,6.420412,8.099998,0.000000,960.000000,0.000000,13500.000000,0.000000,367200.012207,0.000000,3239.999390,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260918,200.000,200.000,6.435376,9.000000,0.000000,960.000000,0.000000,13500.000000,0.000000,360000.000000,0.000000,3600.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260919,200.000,200.000,6.418068,7.949997,0.000000,960.000000,0.000000,13500.000000,0.000000,368400.024414,0.000000,3179.998779,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260920,200.000,200.000,6.409122,7.349998,0.000000,960.000000,0.000000,13500.000000,0.000000,373200.012207,0.000000,2939.999390,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260921,200.000,200.000,6.430217,8.699997,0.000000,960.000000,0.000000,13500.000000,0.000000,362400.024414,0.000000,3479.998779,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,yaw90,20260922,200.000,200.000,6.446205,9.599998,0.000000,960.000000,0.000000,13500.000000,0.000000,355200.012207,0.000000,3839.999390,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,pitch60,20260915,500.000,650.000,9.149170,0.000000,11.400009,0.000000,351.000023,0.000000,1920.000076,0.000000,63599.998474,0.000000,1800.000000
packet,Lock,false,0.58,90,0.00,0.50,60,pitch60,20260916,600.000,600.000,9.320255,0.000000,12.600006,0.000000,348.000031,0.000000,1920.000458,0.000000,63599.945068,0.000000,1679.998779
